Sample in Buffer,Sample in Window,TRIGGER,EXP_IBUF[15:0],clk50M_IBUF,HADDRI[31:0],HRDATAI[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
190,190,0,ff5e,0,00000298,21e0f04f
191,191,0,ff5e,0,0000029c,47706148
192,192,0,ff5e,0,0000038c,00000000
193,193,0,ff5e,0,00000390,bf30ff7f
194,194,0,ff5e,0,00000394,b530bd00
195,195,0,ff5e,0,00000394,00000000
196,196,0,ff5e,0,00000398,25004604
197,197,0,ff5e,0,0000039c,f44fe005
198,198,0,ff5e,0,0000039c,00000000
199,199,0,ff5e,0,0000039c,00000000
200,200,0,ff5e,0,0000039c,00000000
201,201,0,ff5e,0,0000039c,00000000
202,202,0,ff5e,0,0000039c,00000000
203,203,0,ff5e,0,0000039c,00000000
204,204,0,ff5e,0,0000039c,00000000
205,205,0,ff5e,0,0000039c,00000000
206,206,0,ff5e,0,0000039c,00000000
207,207,0,ff5e,0,0000039c,00000000
208,208,0,ff5e,0,0000039c,00000000
209,209,0,ff5e,0,0000039c,00000000
210,210,0,ff5e,0,0000039c,00000000
211,211,0,ff5e,0,0000039c,00000000
212,212,0,ff5e,0,0000039c,00000000
213,213,0,ff5e,0,0000039c,00000000
214,214,0,ff5e,0,0000039c,00000000
215,215,0,ff5e,0,0000039c,00000000
216,216,0,ff5e,0,0000039c,00000000
217,217,0,ff5e,0,0000039c,00000000
218,218,0,ff5e,0,0000039c,00000000
219,219,0,ff5e,0,0000039c,00000000
220,220,0,ff5e,0,0000039c,00000000
221,221,0,ff5e,0,0000039c,00000000
222,222,0,ff5e,0,0000039c,00000000
223,223,0,ff5e,0,0000039c,00000000
224,224,0,ff5e,0,0000039c,00000000
225,225,0,ff5e,0,0000039c,00000000
226,226,0,ff5e,0,0000039c,00000000
227,227,0,ff5e,0,0000039c,00000000
228,228,0,ff5e,0,0000039c,00000000
229,229,0,ff5e,0,0000039c,00000000
230,230,0,ff5e,0,0000039c,00000000
231,231,0,ff5e,0,0000039c,00000000
232,232,0,ff5e,0,0000039c,00000000
233,233,0,ff5e,0,0000039c,00000000
234,234,0,ff5e,0,0000039c,00000000
235,235,0,ff5e,0,0000039c,00000000
236,236,0,ff5e,0,0000039c,00000000
237,237,0,ff5e,0,0000039c,00000000
238,238,0,ff5e,0,0000039c,00000000
239,239,0,ff5e,0,0000039c,00000000
240,240,0,ff5e,0,0000039c,00000000
241,241,0,ff5e,0,0000039c,00000000
242,242,0,ff5e,0,0000039c,00000000
243,243,0,ff5e,0,0000039c,00000000
244,244,0,ff5e,0,0000039c,00000000
245,245,0,ff5e,0,0000039c,00000000
246,246,0,ff5e,0,0000039c,00000000
247,247,0,ff5e,0,0000039c,00000000
248,248,0,ff5e,0,0000003c,00000000
249,249,0,ff5e,0,0000039c,000002c1
250,250,0,ff5e,0,000002c4,00000000
251,251,0,ff5e,0,000002c4,00000000
252,252,0,ff5e,0,000002c0,00000000
253,253,0,ff5e,0,000002c4,68004802
254,254,0,ff5e,0,000002c8,49011c40
255,255,0,ff5e,0,000002cc,47706008
256,256,0,ff5e,0,000002cc,00000000
257,257,0,ff5e,0,000002cc,00000000
258,258,0,ff5e,0,000002cc,00000000
259,259,0,ff5e,0,000002cc,20000004
260,260,0,ff5e,0,000002cc,00000000
261,261,0,ff5e,0,000002d0,00000000
262,262,0,ff5e,0,000002d0,20000004
263,263,0,ff5e,0,000002d4,4811b51f
264,264,0,ff5e,0,000002d4,00000000
265,265,0,ff5e,0,000002d4,20000004
266,266,0,ff5e,0,1ffffff8,00000000
267,267,0,ff5e,0,1ffffffc,00000000
268,268,0,ff5e,0,1ffffffc,00000000
269,269,0,ff5e,0,1ffffffc,00000000
270,270,0,ff5e,0,00000390,00000000
271,271,0,ff5e,0,00000394,00000000
272,272,0,ff5e,0,00000394,b530bd00
273,273,0,ff5e,0,00000398,25004604
274,274,0,ff5e,0,0000039c,f44fe005
275,275,0,ff5e,0,0000039c,00000000
276,276,0,ff5e,0,0000039c,00000000
277,277,0,ff5e,0,0000039c,00000000
278,278,0,ff5e,0,0000039c,00000000
279,279,0,ff5e,0,000003b8,00000000
280,280,0,ff5e,0,000003bc,1c60ffdc
281,281,0,ff5e,0,000003c0,429cb284
282,282,0,ff5e,0,000003c4,bd10dbf8
283,283,0,ff5e,0,000003c8,4821b086
284,284,0,ff5e,0,000003b4,f44f6800
285,285,0,ff5e,0,000003b8,f7ff2032
286,286,0,ff5e,0,000003bc,1c60ffdc
287,287,0,ff5e,0,00000370,429cb284
288,288,0,ff5e,0,00000374,b5004770
289,289,0,ff5e,0,00000378,20004602
290,290,0,ff5e,0,0000037c,ff88f7ff
291,291,0,ff5e,0,00000380,f7ff4610
292,292,0,ff5e,0,00000380,00000000
293,293,0,ff5e,0,0000028c,2000ff89
294,294,0,ff5e,0,00000290,21e0f04f
295,295,0,ff5e,0,00000294,47706108
296,296,0,ff5e,0,00000298,21e0f04f
297,297,0,ff5e,0,0000029c,47706148
298,298,0,ff5e,0,0000037c,00000000
299,299,0,ff5e,0,0000003c,00000000
300,300,0,ff5e,0,00000380,000002c1
301,301,0,ff5e,0,000002c4,00000000
302,302,0,ff5e,0,000002c4,00000000
303,303,0,ff5e,0,000002c0,00000000
304,304,0,ff5e,0,000002c4,68004802
305,305,0,ff5e,0,000002c8,49011c40
306,306,0,ff5e,0,000002cc,47706008
307,307,0,ff5e,0,000002cc,00000000
308,308,0,ff5e,0,000002cc,00000000
309,309,0,ff5e,0,000002cc,00000000
310,310,0,ff5e,0,000002cc,20000004
311,311,0,ff5e,0,000002cc,00000000
312,312,0,ff5e,0,000002d0,00000000
313,313,0,ff5e,0,000002d0,20000004
314,314,0,ff5e,0,000002d4,4811b51f
315,315,0,ff5e,0,000002d4,00000000
316,316,0,ff5e,0,000002d4,20000004
317,317,0,ff5e,0,1ffffff8,00000000
318,318,0,ff5e,0,1ffffffc,00000000
319,319,0,ff5e,0,1ffffffc,00000000
320,320,0,ff5e,0,1ffffffc,00000000
321,321,0,ff5e,0,00000290,00000000
322,322,0,ff5e,0,00000294,00000000
323,323,0,ff5e,0,00000294,47706108
324,324,0,ff5e,0,00000298,21e0f04f
325,325,0,ff5e,0,0000029c,47706148
326,326,0,ff5e,0,0000029c,00000000
327,327,0,ff5e,0,0000029c,00000000
328,328,0,ff5e,0,0000037c,00000000
329,329,0,ff5e,0,00000380,f7ff4610
330,330,0,ff5e,0,00000384,2000ff89
331,331,0,ff5e,0,00000384,00000000
332,332,0,ff5e,0,00000294,ff8af7ff
333,333,0,ff5e,0,00000298,21e0f04f
334,334,0,ff5e,0,0000029c,47706148
335,335,0,ff5e,0,000002a0,21e0f04f
336,336,0,ff5e,0,000002a4,47706188
337,337,0,ff5e,0,00000380,00000000
338,338,0,ff5e,0,00000384,2000ff89
339,339,0,ff5e,0,00000388,ff8af7ff
340,340,0,ff5e,0,00000388,00000000
341,341,0,ff5e,0,0000029c,f7ff2007
342,342,0,ff5e,0,000002a0,21e0f04f
343,343,0,ff5e,0,000002a4,47706188
344,344,0,ff5e,0,000002a8,2000b510
345,345,0,ff5e,0,000002ac,fff0f7ff
346,346,0,ff5e,0,00000388,00000000
347,347,0,ff5e,0,0000038c,f7ff2007
348,348,0,ff5e,0,00000390,bf30ff7f
349,349,0,ff5e,0,00000390,00000000
350,350,0,ff5e,0,0000028c,b530bd00
351,351,0,ff5e,0,00000290,21e0f04f
352,352,0,ff5e,0,00000294,47706108
353,353,0,ff5e,0,00000298,21e0f04f
354,354,0,ff5e,0,0000029c,47706148
