Sample in Buffer,Sample in Window,TRIGGER,EXP_IBUF[15:0],clk50M_IBUF,HADDRI[31:0],HRDATAI[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
216,216,0,ff5e,0,000002bc,00000000
217,217,0,ff5e,0,000002c0,00000000
218,218,0,ff5e,0,000002c0,47706108
219,219,0,ff5e,0,000002c4,21e0f04f
220,220,0,ff5e,0,000002c8,47706148
221,221,0,ff5e,0,000002c8,00000000
222,222,0,ff5e,0,000002c8,00000000
223,223,0,ff5e,0,000003a8,00000000
224,224,0,ff5e,0,000003ac,f7ff4610
225,225,0,ff5e,0,000003b0,2000ff89
226,226,0,ff5e,0,000003b0,00000000
227,227,0,ff5e,0,000002c0,ff8af7ff
228,228,0,ff5e,0,000002c4,21e0f04f
229,229,0,ff5e,0,000002c8,47706148
230,230,0,ff5e,0,000002cc,21e0f04f
231,231,0,ff5e,0,000002d0,47706188
232,232,0,ff5e,0,000003ac,00000000
233,233,0,ff5e,0,000003b0,2000ff89
234,234,0,ff5e,0,000003b4,ff8af7ff
235,235,0,ff5e,0,000003b4,00000000
236,236,0,ff5e,0,000002c8,f7ff2007
237,237,0,ff5e,0,000002cc,21e0f04f
238,238,0,ff5e,0,000002d0,47706188
239,239,0,ff5e,0,000002d4,2000b510
240,240,0,ff5e,0,000002d8,fff0f7ff
241,241,0,ff5e,0,000003b4,00000000
242,242,0,ff5e,0,000003b8,f7ff2007
243,243,0,ff5e,0,000003bc,bf30ff7f
244,244,0,ff5e,0,000003bc,00000000
245,245,0,ff5e,0,000002b8,b530bd00
246,246,0,ff5e,0,000002bc,21e0f04f
247,247,0,ff5e,0,000002c0,47706108
248,248,0,ff5e,0,000002c4,21e0f04f
249,249,0,ff5e,0,000002c8,47706148
250,250,0,ff5e,0,000003b8,00000000
251,251,0,ff5e,0,000003bc,bf30ff7f
252,252,0,ff5e,0,000003c0,b530bd00
253,253,0,ff5e,0,000003c0,00000000
254,254,0,ff5e,0,000003c4,25004604
255,255,0,ff5e,0,000003c8,f44fe005
256,256,0,ff5e,0,000003c8,00000000
257,257,0,ff5e,0,000003c8,00000000
258,258,0,ff5e,0,000003c8,00000000
